Unnamed: 0,_time,etat_failed
0,2021-11-18 00:00:00+00:00,88
1,2021-11-19 00:00:00+00:00,5
2,2021-11-22 00:00:00+00:00,12
3,2021-11-23 00:00:00+00:00,70
4,2021-11-24 00:00:00+00:00,67
5,2021-11-25 00:00:00+00:00,81
6,2021-11-26 00:00:00+00:00,67
7,2021-11-27 00:00:00+00:00,25
8,2021-11-28 00:00:00+00:00,5
9,2021-11-29 00:00:00+00:00,43
10,2021-11-30 00:00:00+00:00,68
11,2021-12-01 00:00:00+00:00,50
12,2021-12-02 00:00:00+00:00,88
13,2021-12-03 00:00:00+00:00,71
14,2021-12-04 00:00:00+00:00,25
15,2021-12-05 00:00:00+00:00,5
16,2021-12-06 00:00:00+00:00,48
17,2021-12-07 00:00:00+00:00,82
18,2021-12-08 00:00:00+00:00,77
19,2021-12-09 00:00:00+00:00,81
20,2021-12-10 00:00:00+00:00,83
21,2021-12-11 00:00:00+00:00,70
22,2021-12-12 00:00:00+00:00,22
23,2021-12-13 00:00:00+00:00,90
24,2021-12-14 00:00:00+00:00,91
25,2021-12-15 00:00:00+00:00,91
26,2021-12-16 00:00:00+00:00,92
27,2021-12-17 00:00:00+00:00,91
28,2021-12-18 00:00:00+00:00,55
29,2021-12-19 00:00:00+00:00,37
30,2021-12-20 00:00:00+00:00,89
31,2021-12-21 00:00:00+00:00,88
32,2021-12-22 00:00:00+00:00,88
33,2021-12-23 00:00:00+00:00,88
34,2021-12-24 00:00:00+00:00,91
35,2021-12-25 00:00:00+00:00,113
36,2021-12-26 00:00:00+00:00,68
37,2021-12-27 00:00:00+00:00,2
38,2021-12-28 00:00:00+00:00,2
39,2021-12-29 00:00:00+00:00,2
40,2021-12-30 00:00:00+00:00,3
41,2021-12-31 00:00:00+00:00,48
42,2022-01-01 00:00:00+00:00,113
43,2022-01-02 00:00:00+00:00,68
44,2022-01-03 00:00:00+00:00,69
45,2022-01-04 00:00:00+00:00,81
46,2022-01-05 00:00:00+00:00,41
47,2022-01-09 00:00:00+00:00,28
48,2022-01-10 00:00:00+00:00,46
49,2022-01-11 00:00:00+00:00,44
50,2022-01-12 00:00:00+00:00,42
51,2022-01-13 00:00:00+00:00,44
52,2022-01-14 00:00:00+00:00,44
